[2020/08/30 09:59:40] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_taran', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 32, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_taran/', 'seed': 42}
[2020/08/30 09:59:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/30 10:13:50] - 77 	 10.9 	 	 0.1540 	 1.3065 	 0.5321
[2020/08/30 10:14:01] - 78 	 10.9 	 	 0.1560 	 1.3089 	 0.5307
[2020/08/30 10:14:12] - 79 	 10.9 	 	 0.1580 	 1.3083 	 0.5297
[2020/08/30 10:14:23] - 80 	 10.9 	 	 0.1600 	 1.3073 	 0.5326
[2020/08/30 10:14:34] - 81 	 10.9 	 	 0.1620 	 1.3049 	 0.5341
[2020/08/30 10:14:45] - 82 	 11.0 	 	 0.1640 	 1.3087 	 0.5317
[2020/08/30 10:14:56] - 83 	 10.9 	 	 0.1660 	 1.3098 	 0.5312
[2020/08/30 10:15:07] - 84 	 10.9 	 	 0.1680 	 1.3115 	 0.5314
[2020/08/30 10:15:18] - 85 	 10.9 	 	 0.1700 	 1.3094 	 0.5328
[2020/08/30 10:15:29] - 86 	 10.9 	 	 0.1720 	 1.3110 	 0.5296
[2020/08/30 10:15:40] - 87 	 10.9 	 	 0.1740 	 1.3121 	 0.5303
[2020/08/30 10:15:51] - 88 	 10.9 	 	 0.1760 	 1.3112 	 0.5306
[2020/08/30 10:16:01] - 89 	 10.9 	 	 0.1780 	 1.3154 	 0.5278
[2020/08/30 10:16:12] - 90 	 10.9 	 	 0.1800 	 1.3115 	 0.5307
[2020/08/30 10:16:23] - 91 	 10.9 	 	 0.1820 	 1.3104 	 0.5326
[2020/08/30 10:16:34] - 92 	 10.9 	 	 0.1840 	 1.3185 	 0.5271
[2020/08/30 10:16:45] - 93 	 10.9 	 	 0.1860 	 1.3133 	 0.5298
[2020/08/30 10:16:56] - 94 	 10.9 	 	 0.1880 	 1.3162 	 0.5292
[2020/08/30 10:17:07] - 95 	 10.9 	 	 0.1900 	 1.3155 	 0.5308
[2020/08/30 10:17:18] - 96 	 11.0 	 	 0.1920 	 1.3151 	 0.5287
[2020/08/30 10:17:29] - 97 	 11.5 	 	 0.1940 	 1.3156 	 0.5281
[2020/08/30 10:17:40] - 98 	 10.9 	 	 0.1960 	 1.3129 	 0.5283
[2020/08/30 10:17:51] - 99 	 10.9 	 	 0.1980 	 1.3167 	 0.5269
[2020/08/30 10:18:02] - 100 	 11.0 	 	 0.2000 	 1.3159 	 0.5312
[2020/08/30 10:18:03] - == Test loss: 1.2962, Test acc: 0.5440
[2020/08/30 10:18:16] - 101 	 10.9 	 	 0.1980 	 1.3137 	 0.5306
[2020/08/30 10:18:27] - 102 	 10.9 	 	 0.1960 	 1.3155 	 0.5272
[2020/08/30 10:18:37] - 103 	 10.9 	 	 0.1940 	 1.3143 	 0.5295
[2020/08/30 10:18:49] - 104 	 11.6 	 	 0.1920 	 1.3092 	 0.5326
[2020/08/30 10:19:00] - 105 	 10.9 	 	 0.1900 	 1.3105 	 0.5296
[2020/08/30 10:19:11] - 106 	 10.9 	 	 0.1880 	 1.3096 	 0.5298
[2020/08/30 10:19:22] - 107 	 10.9 	 	 0.1860 	 1.3086 	 0.5317
[2020/08/30 10:19:33] - 108 	 10.9 	 	 0.1840 	 1.3042 	 0.5323
[2020/08/30 10:19:43] - 109 	 10.9 	 	 0.1820 	 1.3027 	 0.5310
[2020/08/30 10:19:55] - 110 	 11.5 	 	 0.1800 	 1.3064 	 0.5319
[2020/08/30 10:20:06] - 111 	 10.9 	 	 0.1780 	 1.3000 	 0.5354
[2020/08/30 10:20:17] - 112 	 10.8 	 	 0.1760 	 1.3016 	 0.5345
[2020/08/30 10:20:28] - 113 	 10.9 	 	 0.1740 	 1.2972 	 0.5345
[2020/08/30 10:20:39] - 114 	 11.0 	 	 0.1720 	 1.2973 	 0.5366
[2020/08/30 10:20:50] - 115 	 10.9 	 	 0.1700 	 1.2963 	 0.5368
[2020/08/30 10:21:00] - 116 	 10.9 	 	 0.1680 	 1.2899 	 0.5357
[2020/08/30 10:21:11] - 117 	 10.9 	 	 0.1660 	 1.2897 	 0.5363
[2020/08/30 10:21:23] - 118 	 11.2 	 	 0.1640 	 1.2885 	 0.5379
[2020/08/30 10:21:33] - 119 	 10.9 	 	 0.1620 	 1.2900 	 0.5391
[2020/08/30 10:21:44] - 120 	 10.9 	 	 0.1600 	 1.2855 	 0.5401
[2020/08/30 10:21:55] - 121 	 10.9 	 	 0.1580 	 1.2854 	 0.5404
[2020/08/30 10:22:06] - 122 	 10.9 	 	 0.1560 	 1.2818 	 0.5404
[2020/08/30 10:22:17] - 123 	 10.9 	 	 0.1540 	 1.2820 	 0.5421
[2020/08/30 10:22:28] - 124 	 10.9 	 	 0.1520 	 1.2769 	 0.5436
[2020/08/30 10:22:39] - 125 	 10.9 	 	 0.1500 	 1.2764 	 0.5443
[2020/08/30 10:22:50] - 126 	 10.8 	 	 0.1480 	 1.2754 	 0.5435
[2020/08/30 10:23:01] - 127 	 10.9 	 	 0.1460 	 1.2721 	 0.5420
[2020/08/30 10:23:12] - 128 	 11.0 	 	 0.1440 	 1.2677 	 0.5457
[2020/08/30 10:23:22] - 129 	 10.9 	 	 0.1420 	 1.2648 	 0.5505
[2020/08/30 10:23:33] - 130 	 10.9 	 	 0.1400 	 1.2631 	 0.5485
[2020/08/30 10:23:44] - 131 	 10.8 	 	 0.1380 	 1.2682 	 0.5467
[2020/08/30 10:23:55] - 132 	 10.9 	 	 0.1360 	 1.2665 	 0.5485
[2020/08/30 10:24:06] - 133 	 10.9 	 	 0.1340 	 1.2590 	 0.5509
[2020/08/30 10:24:17] - 134 	 10.9 	 	 0.1320 	 1.2564 	 0.5493
[2020/08/30 10:24:28] - 135 	 10.9 	 	 0.1300 	 1.2578 	 0.5496
[2020/08/30 10:24:39] - 136 	 10.9 	 	 0.1280 	 1.2533 	 0.5508
[2020/08/30 10:24:49] - 137 	 10.9 	 	 0.1260 	 1.2501 	 0.5543
[2020/08/30 10:25:00] - 138 	 10.9 	 	 0.1240 	 1.2495 	 0.5521
[2020/08/30 10:25:11] - 139 	 10.9 	 	 0.1220 	 1.2442 	 0.5564
[2020/08/30 10:25:22] - 140 	 10.8 	 	 0.1200 	 1.2409 	 0.5574
[2020/08/30 10:25:33] - 141 	 11.2 	 	 0.1180 	 1.2431 	 0.5570
[2020/08/30 10:25:44] - 142 	 10.9 	 	 0.1160 	 1.2385 	 0.5569
[2020/08/30 10:25:55] - 143 	 10.8 	 	 0.1140 	 1.2358 	 0.5575
[2020/08/30 10:26:06] - 144 	 10.9 	 	 0.1120 	 1.2335 	 0.5574
[2020/08/30 10:26:17] - 145 	 10.9 	 	 0.1100 	 1.2295 	 0.5603
[2020/08/30 10:26:28] - 146 	 10.8 	 	 0.1080 	 1.2256 	 0.5611
[2020/08/30 10:26:39] - 147 	 10.9 	 	 0.1060 	 1.2265 	 0.5625
[2020/08/30 10:26:49] - 148 	 10.9 	 	 0.1040 	 1.2239 	 0.5630
[2020/08/30 10:27:00] - 149 	 10.9 	 	 0.1020 	 1.2178 	 0.5651
[2020/08/30 10:27:11] - 150 	 10.9 	 	 0.1000 	 1.2163 	 0.5653
[2020/08/30 10:27:22] - 151 	 10.9 	 	 0.0980 	 1.2147 	 0.5649
[2020/08/30 10:27:33] - 152 	 10.9 	 	 0.0960 	 1.2092 	 0.5678
[2020/08/30 10:27:44] - 153 	 10.9 	 	 0.0940 	 1.2083 	 0.5675
[2020/08/30 10:27:55] - 154 	 10.9 	 	 0.0920 	 1.2013 	 0.5689
[2020/08/30 10:28:06] - 155 	 10.9 	 	 0.0900 	 1.1944 	 0.5721
[2020/08/30 10:28:17] - 156 	 11.0 	 	 0.0880 	 1.1972 	 0.5713
[2020/08/30 10:28:27] - 157 	 10.8 	 	 0.0860 	 1.1922 	 0.5771
[2020/08/30 10:28:39] - 158 	 11.1 	 	 0.0840 	 1.1915 	 0.5744
[2020/08/30 10:28:49] - 159 	 10.9 	 	 0.0820 	 1.1853 	 0.5778
[2020/08/30 10:29:00] - 160 	 10.8 	 	 0.0800 	 1.1794 	 0.5782
[2020/08/30 10:29:11] - 161 	 10.9 	 	 0.0780 	 1.1738 	 0.5802
[2020/08/30 10:29:22] - 162 	 11.4 	 	 0.0760 	 1.1729 	 0.5801
[2020/08/30 10:29:33] - 163 	 10.9 	 	 0.0740 	 1.1740 	 0.5817
[2020/08/30 10:29:44] - 164 	 10.9 	 	 0.0720 	 1.1598 	 0.5880
[2020/08/30 10:29:55] - 165 	 10.9 	 	 0.0700 	 1.1596 	 0.5853
[2020/08/30 10:30:06] - 166 	 10.9 	 	 0.0680 	 1.1557 	 0.5888
[2020/08/30 10:30:17] - 167 	 10.9 	 	 0.0660 	 1.1538 	 0.5878
[2020/08/30 10:30:28] - 168 	 10.8 	 	 0.0640 	 1.1401 	 0.5928
[2020/08/30 10:30:39] - 169 	 11.5 	 	 0.0620 	 1.1451 	 0.5917
[2020/08/30 10:30:50] - 170 	 10.9 	 	 0.0600 	 1.1298 	 0.5975
[2020/08/30 10:31:01] - 171 	 10.8 	 	 0.0580 	 1.1279 	 0.5947
[2020/08/30 10:31:12] - 172 	 10.8 	 	 0.0560 	 1.1195 	 0.6021
[2020/08/30 10:31:23] - 173 	 10.9 	 	 0.0540 	 1.1132 	 0.6025
[2020/08/30 10:31:34] - 174 	 10.8 	 	 0.0520 	 1.1116 	 0.6024
[2020/08/30 10:31:44] - 175 	 10.9 	 	 0.0500 	 1.1030 	 0.6062
[2020/08/30 10:31:55] - 176 	 10.9 	 	 0.0480 	 1.0966 	 0.6122
[2020/08/30 10:32:06] - 177 	 10.8 	 	 0.0460 	 1.0870 	 0.6125
[2020/08/30 10:32:17] - 178 	 10.9 	 	 0.0440 	 1.0789 	 0.6161
[2020/08/30 10:32:28] - 179 	 10.8 	 	 0.0420 	 1.0744 	 0.6167
[2020/08/30 10:32:39] - 180 	 10.9 	 	 0.0400 	 1.0632 	 0.6217
[2020/08/30 10:32:50] - 181 	 11.0 	 	 0.0380 	 1.0496 	 0.6261
[2020/08/30 10:33:01] - 182 	 10.8 	 	 0.0360 	 1.0458 	 0.6270
[2020/08/30 10:33:12] - 183 	 10.9 	 	 0.0340 	 1.0361 	 0.6312
[2020/08/30 10:33:22] - 184 	 10.9 	 	 0.0320 	 1.0233 	 0.6333
[2020/08/30 10:33:33] - 185 	 10.8 	 	 0.0300 	 1.0151 	 0.6404
[2020/08/30 10:33:44] - 186 	 10.9 	 	 0.0280 	 1.0004 	 0.6391
[2020/08/30 10:33:55] - 187 	 10.9 	 	 0.0260 	 0.9899 	 0.6469
[2020/08/30 10:34:06] - 188 	 10.8 	 	 0.0240 	 0.9775 	 0.6500
[2020/08/30 10:34:17] - 189 	 10.9 	 	 0.0220 	 0.9550 	 0.6590
[2020/08/30 10:34:28] - 190 	 10.9 	 	 0.0200 	 0.9404 	 0.6640
[2020/08/30 10:34:39] - 191 	 10.8 	 	 0.0180 	 0.9161 	 0.6733
[2020/08/30 10:34:50] - 192 	 11.0 	 	 0.0160 	 0.9021 	 0.6785
[2020/08/30 10:35:01] - 193 	 10.9 	 	 0.0140 	 0.8803 	 0.6845
[2020/08/30 10:35:12] - 194 	 10.9 	 	 0.0120 	 0.8552 	 0.6936
[2020/08/30 10:35:23] - 195 	 10.9 	 	 0.0100 	 0.8257 	 0.7054
[2020/08/30 10:35:33] - 196 	 10.9 	 	 0.0080 	 0.7895 	 0.7170
[2020/08/30 10:35:44] - 197 	 10.9 	 	 0.0060 	 0.7565 	 0.7315
[2020/08/30 10:35:55] - 198 	 10.9 	 	 0.0040 	 0.7166 	 0.7447
[2020/08/30 10:36:06] - 199 	 10.8 	 	 0.0020 	 0.6744 	 0.7607
[2020/08/30 10:36:17] - 200 	 10.9 	 	 0.0000 	 0.6381 	 0.7762
[2020/08/30 10:36:18] - == Test loss: 1.0601, Test acc: 0.6516
[2020/08/30 10:36:20] - == Training Finished. best_test_acc: 0.6516 ==
[2020/08/30 10:36:20] - == Total training time: 36.6144 minutes ==
