[2020/08/28 10:22:25] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18/', 'seed': 42}
[2020/08/28 10:22:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 10:41:04] - 109 	 10.2 	 	 0.1820 	 0.2976 	 0.8998
[2020/08/28 10:41:14] - 110 	 10.2 	 	 0.1800 	 0.2999 	 0.8974
[2020/08/28 10:41:25] - 111 	 10.2 	 	 0.1780 	 0.2926 	 0.8999
[2020/08/28 10:41:35] - 112 	 10.2 	 	 0.1760 	 0.2986 	 0.8997
[2020/08/28 10:41:45] - 113 	 10.2 	 	 0.1740 	 0.2980 	 0.8996
[2020/08/28 10:41:55] - 114 	 10.2 	 	 0.1720 	 0.2914 	 0.9008
[2020/08/28 10:42:05] - 115 	 10.2 	 	 0.1700 	 0.2936 	 0.9007
[2020/08/28 10:42:16] - 116 	 10.2 	 	 0.1680 	 0.2930 	 0.9014
[2020/08/28 10:42:26] - 117 	 10.2 	 	 0.1660 	 0.2873 	 0.9023
[2020/08/28 10:42:36] - 118 	 10.2 	 	 0.1640 	 0.2862 	 0.9020
[2020/08/28 10:42:46] - 119 	 10.3 	 	 0.1620 	 0.2842 	 0.9033
[2020/08/28 10:42:56] - 120 	 10.2 	 	 0.1600 	 0.2874 	 0.9019
[2020/08/28 10:43:07] - 121 	 10.2 	 	 0.1580 	 0.2804 	 0.9058
[2020/08/28 10:43:17] - 122 	 10.2 	 	 0.1560 	 0.2807 	 0.9037
[2020/08/28 10:43:27] - 123 	 10.2 	 	 0.1540 	 0.2783 	 0.9043
[2020/08/28 10:43:37] - 124 	 10.2 	 	 0.1520 	 0.2786 	 0.9052
[2020/08/28 10:43:47] - 125 	 10.2 	 	 0.1500 	 0.2787 	 0.9060
[2020/08/28 10:43:57] - 126 	 10.2 	 	 0.1480 	 0.2740 	 0.9065
[2020/08/28 10:44:08] - 127 	 10.2 	 	 0.1460 	 0.2703 	 0.9078
[2020/08/28 10:44:18] - 128 	 10.2 	 	 0.1440 	 0.2762 	 0.9061
[2020/08/28 10:44:28] - 129 	 10.2 	 	 0.1420 	 0.2698 	 0.9082
[2020/08/28 10:44:38] - 130 	 10.2 	 	 0.1400 	 0.2675 	 0.9093
[2020/08/28 10:44:49] - 131 	 10.2 	 	 0.1380 	 0.2677 	 0.9105
[2020/08/28 10:44:59] - 132 	 10.2 	 	 0.1360 	 0.2650 	 0.9093
[2020/08/28 10:45:09] - 133 	 10.2 	 	 0.1340 	 0.2647 	 0.9119
[2020/08/28 10:45:19] - 134 	 10.3 	 	 0.1320 	 0.2584 	 0.9125
[2020/08/28 10:45:29] - 135 	 10.2 	 	 0.1300 	 0.2638 	 0.9093
[2020/08/28 10:45:40] - 136 	 10.2 	 	 0.1280 	 0.2575 	 0.9124
[2020/08/28 10:45:50] - 137 	 10.2 	 	 0.1260 	 0.2578 	 0.9123
[2020/08/28 10:46:00] - 138 	 10.2 	 	 0.1240 	 0.2524 	 0.9132
[2020/08/28 10:46:10] - 139 	 10.2 	 	 0.1220 	 0.2509 	 0.9139
[2020/08/28 10:46:20] - 140 	 10.2 	 	 0.1200 	 0.2536 	 0.9141
[2020/08/28 10:46:31] - 141 	 10.2 	 	 0.1180 	 0.2465 	 0.9160
[2020/08/28 10:46:41] - 142 	 10.2 	 	 0.1160 	 0.2452 	 0.9170
[2020/08/28 10:46:51] - 143 	 10.2 	 	 0.1140 	 0.2457 	 0.9169
[2020/08/28 10:47:01] - 144 	 10.2 	 	 0.1120 	 0.2416 	 0.9174
[2020/08/28 10:47:11] - 145 	 10.2 	 	 0.1100 	 0.2380 	 0.9180
[2020/08/28 10:47:22] - 146 	 10.2 	 	 0.1080 	 0.2360 	 0.9197
[2020/08/28 10:47:32] - 147 	 10.2 	 	 0.1060 	 0.2346 	 0.9211
[2020/08/28 10:47:42] - 148 	 10.2 	 	 0.1040 	 0.2330 	 0.9203
[2020/08/28 10:47:52] - 149 	 10.2 	 	 0.1020 	 0.2322 	 0.9220
[2020/08/28 10:48:02] - 150 	 10.2 	 	 0.1000 	 0.2263 	 0.9225
[2020/08/28 10:48:13] - 151 	 10.2 	 	 0.0980 	 0.2260 	 0.9233
[2020/08/28 10:48:23] - 152 	 10.2 	 	 0.0960 	 0.2270 	 0.9224
[2020/08/28 10:48:33] - 153 	 10.2 	 	 0.0940 	 0.2188 	 0.9255
[2020/08/28 10:48:43] - 154 	 10.2 	 	 0.0920 	 0.2153 	 0.9271
[2020/08/28 10:48:53] - 155 	 10.2 	 	 0.0900 	 0.2180 	 0.9263
[2020/08/28 10:49:04] - 156 	 10.2 	 	 0.0880 	 0.2177 	 0.9259
[2020/08/28 10:49:14] - 157 	 10.2 	 	 0.0860 	 0.2163 	 0.9266
[2020/08/28 10:49:24] - 158 	 10.2 	 	 0.0840 	 0.2088 	 0.9281
[2020/08/28 10:49:34] - 159 	 10.2 	 	 0.0820 	 0.2048 	 0.9304
[2020/08/28 10:49:44] - 160 	 10.2 	 	 0.0800 	 0.1992 	 0.9327
[2020/08/28 10:49:55] - 161 	 10.2 	 	 0.0780 	 0.1945 	 0.9336
[2020/08/28 10:50:05] - 162 	 10.2 	 	 0.0760 	 0.1967 	 0.9324
[2020/08/28 10:50:15] - 163 	 10.2 	 	 0.0740 	 0.1972 	 0.9328
[2020/08/28 10:50:25] - 164 	 10.2 	 	 0.0720 	 0.1892 	 0.9358
[2020/08/28 10:50:35] - 165 	 10.2 	 	 0.0700 	 0.1838 	 0.9388
[2020/08/28 10:50:45] - 166 	 10.2 	 	 0.0680 	 0.1825 	 0.9376
[2020/08/28 10:50:56] - 167 	 10.2 	 	 0.0660 	 0.1822 	 0.9377
[2020/08/28 10:51:06] - 168 	 10.2 	 	 0.0640 	 0.1779 	 0.9390
[2020/08/28 10:51:16] - 169 	 10.2 	 	 0.0620 	 0.1737 	 0.9406
[2020/08/28 10:51:26] - 170 	 10.2 	 	 0.0600 	 0.1698 	 0.9417
[2020/08/28 10:51:36] - 171 	 10.2 	 	 0.0580 	 0.1683 	 0.9431
[2020/08/28 10:51:46] - 172 	 10.2 	 	 0.0560 	 0.1585 	 0.9460
[2020/08/28 10:51:57] - 173 	 10.2 	 	 0.0540 	 0.1549 	 0.9472
[2020/08/28 10:52:07] - 174 	 10.2 	 	 0.0520 	 0.1545 	 0.9475
[2020/08/28 10:52:17] - 175 	 10.2 	 	 0.0500 	 0.1479 	 0.9491
[2020/08/28 10:52:27] - 176 	 10.2 	 	 0.0480 	 0.1439 	 0.9510
[2020/08/28 10:52:37] - 177 	 10.2 	 	 0.0460 	 0.1409 	 0.9527
[2020/08/28 10:52:48] - 178 	 10.2 	 	 0.0440 	 0.1340 	 0.9542
[2020/08/28 10:52:58] - 179 	 10.2 	 	 0.0420 	 0.1307 	 0.9556
[2020/08/28 10:53:08] - 180 	 10.2 	 	 0.0400 	 0.1248 	 0.9567
