[2020/08/29 15:34:50] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_2', 'seed': 42}
[2020/08/29 15:34:53] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 15:58:12] - 125 	 11.2 	 	 0.1500 	 0.3763 	 0.8713
[2020/08/29 15:58:23] - 126 	 11.1 	 	 0.1480 	 0.3705 	 0.8730
[2020/08/29 15:58:34] - 127 	 11.2 	 	 0.1460 	 0.3725 	 0.8738
[2020/08/29 15:58:45] - 128 	 11.1 	 	 0.1440 	 0.3724 	 0.8722
[2020/08/29 15:58:56] - 129 	 11.1 	 	 0.1420 	 0.3723 	 0.8725
[2020/08/29 15:59:08] - 130 	 11.2 	 	 0.1400 	 0.3592 	 0.8769
[2020/08/29 15:59:19] - 131 	 11.2 	 	 0.1380 	 0.3643 	 0.8736
[2020/08/29 15:59:30] - 132 	 11.1 	 	 0.1360 	 0.3597 	 0.8767
[2020/08/29 15:59:41] - 133 	 11.1 	 	 0.1340 	 0.3545 	 0.8796
[2020/08/29 15:59:52] - 134 	 11.1 	 	 0.1320 	 0.3556 	 0.8787
[2020/08/29 16:00:03] - 135 	 11.1 	 	 0.1300 	 0.3470 	 0.8822
[2020/08/29 16:00:14] - 136 	 11.1 	 	 0.1280 	 0.3534 	 0.8788
[2020/08/29 16:00:25] - 137 	 11.1 	 	 0.1260 	 0.3507 	 0.8805
[2020/08/29 16:00:37] - 138 	 11.1 	 	 0.1240 	 0.3487 	 0.8811
[2020/08/29 16:00:48] - 139 	 11.1 	 	 0.1220 	 0.3430 	 0.8822
[2020/08/29 16:00:59] - 140 	 11.1 	 	 0.1200 	 0.3391 	 0.8841
[2020/08/29 16:01:10] - 141 	 11.2 	 	 0.1180 	 0.3369 	 0.8842
[2020/08/29 16:01:21] - 142 	 11.1 	 	 0.1160 	 0.3343 	 0.8849
[2020/08/29 16:01:32] - 143 	 11.1 	 	 0.1140 	 0.3359 	 0.8851
