[2020/09/15 14:30:52] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_4_0/', 'seed': 0}
[2020/09/15 14:30:55] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:54:10] - 125 	 10.9 	 	 0.1500 	 0.3967 	 0.8625
[2020/09/15 14:54:21] - 126 	 11.0 	 	 0.1480 	 0.3913 	 0.8651
[2020/09/15 14:54:31] - 127 	 11.0 	 	 0.1460 	 0.3902 	 0.8666
[2020/09/15 14:54:42] - 128 	 10.9 	 	 0.1440 	 0.3912 	 0.8647
[2020/09/15 14:54:53] - 129 	 11.0 	 	 0.1420 	 0.3884 	 0.8672
[2020/09/15 14:55:04] - 130 	 11.0 	 	 0.1400 	 0.3861 	 0.8667
[2020/09/15 14:55:15] - 131 	 10.9 	 	 0.1380 	 0.3803 	 0.8689
[2020/09/15 14:55:26] - 132 	 11.0 	 	 0.1360 	 0.3819 	 0.8684
[2020/09/15 14:55:37] - 133 	 10.9 	 	 0.1340 	 0.3768 	 0.8700
[2020/09/15 14:55:48] - 134 	 10.9 	 	 0.1320 	 0.3777 	 0.8694
[2020/09/15 14:55:59] - 135 	 11.0 	 	 0.1300 	 0.3729 	 0.8719
[2020/09/15 14:56:10] - 136 	 11.0 	 	 0.1280 	 0.3701 	 0.8722
[2020/09/15 14:56:21] - 137 	 10.9 	 	 0.1260 	 0.3683 	 0.8732
[2020/09/15 14:56:32] - 138 	 10.9 	 	 0.1240 	 0.3656 	 0.8735
[2020/09/15 14:56:43] - 139 	 10.9 	 	 0.1220 	 0.3645 	 0.8745
[2020/09/15 14:56:54] - 140 	 10.9 	 	 0.1200 	 0.3650 	 0.8750
[2020/09/15 14:57:05] - 141 	 10.9 	 	 0.1180 	 0.3562 	 0.8782
[2020/09/15 14:57:16] - 142 	 10.9 	 	 0.1160 	 0.3572 	 0.8775
[2020/09/15 14:57:27] - 143 	 10.9 	 	 0.1140 	 0.3581 	 0.8767
[2020/09/15 14:57:38] - 144 	 11.0 	 	 0.1120 	 0.3530 	 0.8802
[2020/09/15 14:57:49] - 145 	 10.9 	 	 0.1100 	 0.3507 	 0.8788
[2020/09/15 14:57:59] - 146 	 10.9 	 	 0.1080 	 0.3440 	 0.8804
[2020/09/15 14:58:10] - 147 	 11.0 	 	 0.1060 	 0.3416 	 0.8827
[2020/09/15 14:58:21] - 148 	 10.9 	 	 0.1040 	 0.3406 	 0.8849
[2020/09/15 14:58:32] - 149 	 11.0 	 	 0.1020 	 0.3342 	 0.8847
[2020/09/15 14:58:43] - 150 	 10.9 	 	 0.1000 	 0.3374 	 0.8826
[2020/09/15 14:58:54] - 151 	 10.9 	 	 0.0980 	 0.3348 	 0.8843
[2020/09/15 14:59:05] - 152 	 10.9 	 	 0.0960 	 0.3280 	 0.8874
[2020/09/15 14:59:16] - 153 	 10.9 	 	 0.0940 	 0.3276 	 0.8877
[2020/09/15 14:59:27] - 154 	 10.9 	 	 0.0920 	 0.3227 	 0.8885
[2020/09/15 14:59:38] - 155 	 10.9 	 	 0.0900 	 0.3184 	 0.8896
[2020/09/15 14:59:49] - 156 	 10.9 	 	 0.0880 	 0.3193 	 0.8887
[2020/09/15 15:00:00] - 157 	 11.0 	 	 0.0860 	 0.3097 	 0.8935
[2020/09/15 15:00:11] - 158 	 10.9 	 	 0.0840 	 0.3121 	 0.8917
[2020/09/15 15:00:22] - 159 	 10.9 	 	 0.0820 	 0.3020 	 0.8960
[2020/09/15 15:00:33] - 160 	 10.9 	 	 0.0800 	 0.3044 	 0.8949
[2020/09/15 15:00:44] - 161 	 10.9 	 	 0.0780 	 0.2951 	 0.8985
[2020/09/15 15:00:54] - 162 	 10.9 	 	 0.0760 	 0.2944 	 0.8980
[2020/09/15 15:01:05] - 163 	 10.9 	 	 0.0740 	 0.2919 	 0.8994
[2020/09/15 15:01:16] - 164 	 10.9 	 	 0.0720 	 0.2805 	 0.9023
[2020/09/15 15:01:27] - 165 	 10.9 	 	 0.0700 	 0.2848 	 0.9017
[2020/09/15 15:01:38] - 166 	 10.9 	 	 0.0680 	 0.2748 	 0.9051
[2020/09/15 15:01:49] - 167 	 11.0 	 	 0.0660 	 0.2739 	 0.9059
[2020/09/15 15:02:00] - 168 	 10.9 	 	 0.0640 	 0.2693 	 0.9078
[2020/09/15 15:02:11] - 169 	 10.9 	 	 0.0620 	 0.2660 	 0.9077
[2020/09/15 15:02:22] - 170 	 10.9 	 	 0.0600 	 0.2604 	 0.9094
[2020/09/15 15:02:33] - 171 	 10.9 	 	 0.0580 	 0.2522 	 0.9120
[2020/09/15 15:02:44] - 172 	 10.9 	 	 0.0560 	 0.2456 	 0.9157
[2020/09/15 15:02:55] - 173 	 10.9 	 	 0.0540 	 0.2390 	 0.9175
[2020/09/15 15:03:06] - 174 	 11.0 	 	 0.0520 	 0.2380 	 0.9186
[2020/09/15 15:03:17] - 175 	 10.9 	 	 0.0500 	 0.2314 	 0.9206
[2020/09/15 15:03:28] - 176 	 10.9 	 	 0.0480 	 0.2213 	 0.9232
[2020/09/15 15:03:39] - 177 	 10.9 	 	 0.0460 	 0.2154 	 0.9247
[2020/09/15 15:03:50] - 178 	 11.0 	 	 0.0440 	 0.2047 	 0.9291
[2020/09/15 15:04:00] - 179 	 10.9 	 	 0.0420 	 0.2052 	 0.9290
[2020/09/15 15:04:11] - 180 	 10.9 	 	 0.0400 	 0.2005 	 0.9308
[2020/09/15 15:04:22] - 181 	 11.0 	 	 0.0380 	 0.1906 	 0.9340
[2020/09/15 15:04:33] - 182 	 10.9 	 	 0.0360 	 0.1827 	 0.9370
[2020/09/15 15:04:44] - 183 	 10.9 	 	 0.0340 	 0.1784 	 0.9364
[2020/09/15 15:04:55] - 184 	 10.9 	 	 0.0320 	 0.1687 	 0.9417
[2020/09/15 15:05:06] - 185 	 10.9 	 	 0.0300 	 0.1538 	 0.9471
[2020/09/15 15:05:17] - 186 	 10.9 	 	 0.0280 	 0.1504 	 0.9476
[2020/09/15 15:05:28] - 187 	 10.9 	 	 0.0260 	 0.1364 	 0.9525
[2020/09/15 15:05:39] - 188 	 11.0 	 	 0.0240 	 0.1226 	 0.9585
[2020/09/15 15:05:50] - 189 	 10.9 	 	 0.0220 	 0.1141 	 0.9610
[2020/09/15 15:06:01] - 190 	 10.9 	 	 0.0200 	 0.1056 	 0.9640
[2020/09/15 15:06:12] - 191 	 10.9 	 	 0.0180 	 0.0911 	 0.9698
[2020/09/15 15:06:23] - 192 	 10.9 	 	 0.0160 	 0.0818 	 0.9715
[2020/09/15 15:06:34] - 193 	 10.9 	 	 0.0140 	 0.0712 	 0.9756
[2020/09/15 15:06:44] - 194 	 10.9 	 	 0.0120 	 0.0578 	 0.9808
[2020/09/15 15:06:55] - 195 	 11.0 	 	 0.0100 	 0.0413 	 0.9867
[2020/09/15 15:07:06] - 196 	 10.9 	 	 0.0080 	 0.0308 	 0.9905
[2020/09/15 15:07:17] - 197 	 10.9 	 	 0.0060 	 0.0251 	 0.9921
[2020/09/15 15:07:28] - 198 	 10.9 	 	 0.0040 	 0.0172 	 0.9952
[2020/09/15 15:07:39] - 199 	 10.9 	 	 0.0020 	 0.0144 	 0.9961
[2020/09/15 15:07:50] - 200 	 10.9 	 	 0.0000 	 0.0114 	 0.9972
[2020/09/15 15:07:51] - == Test loss: 0.2792, Test acc: 0.9261
[2020/09/15 15:08:03] - == Training Finished. best_test_acc: 0.9261 ==
[2020/09/15 15:08:03] - == Total training time: 37.1289 minutes ==
