[2020/09/02 16:31:41] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_2', 'seed': 42}
[2020/09/02 16:31:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 16:44:53] - 75 	 10.4 	 	 0.1500 	 0.2924 	 0.8993
[2020/09/02 16:45:04] - 76 	 10.4 	 	 0.1520 	 0.2931 	 0.9009
[2020/09/02 16:45:14] - 77 	 10.4 	 	 0.1540 	 0.2931 	 0.8991
[2020/09/02 16:45:25] - 78 	 10.4 	 	 0.1560 	 0.2922 	 0.9005
[2020/09/02 16:45:35] - 79 	 10.4 	 	 0.1580 	 0.3019 	 0.8956
[2020/09/02 16:45:45] - 80 	 10.4 	 	 0.1600 	 0.2907 	 0.9011
[2020/09/02 16:45:56] - 81 	 10.5 	 	 0.1620 	 0.2990 	 0.8978
[2020/09/02 16:46:06] - 82 	 10.4 	 	 0.1640 	 0.2987 	 0.8991
[2020/09/02 16:46:17] - 83 	 10.6 	 	 0.1660 	 0.3002 	 0.8977
[2020/09/02 16:46:27] - 84 	 10.4 	 	 0.1680 	 0.2996 	 0.8981
[2020/09/02 16:46:38] - 85 	 10.4 	 	 0.1700 	 0.3060 	 0.8962
[2020/09/02 16:46:48] - 86 	 10.4 	 	 0.1720 	 0.3036 	 0.8978
[2020/09/02 16:46:59] - 87 	 10.4 	 	 0.1740 	 0.2960 	 0.8993
[2020/09/02 16:47:09] - 88 	 10.4 	 	 0.1760 	 0.3047 	 0.8970
[2020/09/02 16:47:20] - 89 	 10.5 	 	 0.1780 	 0.3051 	 0.8973
[2020/09/02 16:47:30] - 90 	 10.4 	 	 0.1800 	 0.3022 	 0.8971
