[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:46:44] - 82 	 11.1 	 	 0.1640 	 0.3715 	 0.8712
[2020/09/15 14:46:55] - 83 	 11.1 	 	 0.1660 	 0.3689 	 0.8751
[2020/09/15 14:47:06] - 84 	 11.1 	 	 0.1680 	 0.3743 	 0.8718
[2020/09/15 14:47:17] - 85 	 11.1 	 	 0.1700 	 0.3707 	 0.8749
[2020/09/15 14:47:28] - 86 	 11.1 	 	 0.1720 	 0.3765 	 0.8715
[2020/09/15 14:47:39] - 87 	 11.1 	 	 0.1740 	 0.3758 	 0.8730
[2020/09/15 14:47:50] - 88 	 11.1 	 	 0.1760 	 0.3728 	 0.8722
[2020/09/15 14:48:01] - 89 	 11.1 	 	 0.1780 	 0.3772 	 0.8711
[2020/09/15 14:48:12] - 90 	 11.1 	 	 0.1800 	 0.3797 	 0.8706
[2020/09/15 14:48:24] - 91 	 11.1 	 	 0.1820 	 0.3743 	 0.8729
[2020/09/15 14:48:35] - 92 	 11.1 	 	 0.1840 	 0.3767 	 0.8703
[2020/09/15 14:48:46] - 93 	 11.1 	 	 0.1860 	 0.3767 	 0.8714
[2020/09/15 14:48:57] - 94 	 11.1 	 	 0.1880 	 0.3785 	 0.8702
[2020/09/15 14:49:08] - 95 	 11.1 	 	 0.1900 	 0.3837 	 0.8684
[2020/09/15 14:49:19] - 96 	 11.1 	 	 0.1920 	 0.3844 	 0.8679
[2020/09/15 14:49:30] - 97 	 11.1 	 	 0.1940 	 0.3835 	 0.8672
[2020/09/15 14:49:41] - 98 	 11.1 	 	 0.1960 	 0.3882 	 0.8676
[2020/09/15 14:49:52] - 99 	 11.1 	 	 0.1980 	 0.3854 	 0.8677
[2020/09/15 14:50:04] - 100 	 11.1 	 	 0.2000 	 0.3868 	 0.8675
[2020/09/15 14:50:04] - == Test loss: 0.5264, Test acc: 0.8256
[2020/09/15 14:50:17] - 101 	 11.1 	 	 0.1980 	 0.3838 	 0.8692
[2020/09/15 14:50:28] - 102 	 11.0 	 	 0.1960 	 0.3874 	 0.8665
[2020/09/15 14:50:39] - 103 	 11.1 	 	 0.1940 	 0.3813 	 0.8709
[2020/09/15 14:50:50] - 104 	 11.1 	 	 0.1920 	 0.3806 	 0.8704
[2020/09/15 14:51:01] - 105 	 11.1 	 	 0.1900 	 0.3813 	 0.8701
[2020/09/15 14:51:13] - 106 	 11.1 	 	 0.1880 	 0.3782 	 0.8703
[2020/09/15 14:51:24] - 107 	 11.1 	 	 0.1860 	 0.3824 	 0.8698
[2020/09/15 14:51:35] - 108 	 11.1 	 	 0.1840 	 0.3712 	 0.8730
[2020/09/15 14:51:46] - 109 	 11.1 	 	 0.1820 	 0.3708 	 0.8738
[2020/09/15 14:51:57] - 110 	 11.1 	 	 0.1800 	 0.3773 	 0.8700
[2020/09/15 14:52:08] - 111 	 11.1 	 	 0.1780 	 0.3678 	 0.8729
[2020/09/15 14:52:19] - 112 	 11.1 	 	 0.1760 	 0.3699 	 0.8743
[2020/09/15 14:52:30] - 113 	 11.1 	 	 0.1740 	 0.3747 	 0.8728
[2020/09/15 14:52:41] - 114 	 11.1 	 	 0.1720 	 0.3723 	 0.8729
[2020/09/15 14:52:52] - 115 	 11.1 	 	 0.1700 	 0.3622 	 0.8760
[2020/09/15 14:53:04] - 116 	 11.1 	 	 0.1680 	 0.3660 	 0.8734
[2020/09/15 14:53:15] - 117 	 11.1 	 	 0.1660 	 0.3647 	 0.8767
[2020/09/15 14:53:26] - 118 	 11.1 	 	 0.1640 	 0.3597 	 0.8784
[2020/09/15 14:53:37] - 119 	 11.1 	 	 0.1620 	 0.3580 	 0.8778
[2020/09/15 14:53:48] - 120 	 11.1 	 	 0.1600 	 0.3586 	 0.8768
[2020/09/15 14:53:59] - 121 	 11.1 	 	 0.1580 	 0.3518 	 0.8791
[2020/09/15 14:54:10] - 122 	 11.1 	 	 0.1560 	 0.3551 	 0.8787
[2020/09/15 14:54:21] - 123 	 11.2 	 	 0.1540 	 0.3570 	 0.8777
[2020/09/15 14:54:32] - 124 	 11.1 	 	 0.1520 	 0.3488 	 0.8805
[2020/09/15 14:54:44] - 125 	 11.1 	 	 0.1500 	 0.3513 	 0.8797
[2020/09/15 14:54:55] - 126 	 11.1 	 	 0.1480 	 0.3438 	 0.8813
[2020/09/15 14:55:06] - 127 	 11.1 	 	 0.1460 	 0.3442 	 0.8816
[2020/09/15 14:55:17] - 128 	 11.1 	 	 0.1440 	 0.3434 	 0.8823
[2020/09/15 14:55:28] - 129 	 11.1 	 	 0.1420 	 0.3366 	 0.8837
[2020/09/15 14:55:39] - 130 	 11.1 	 	 0.1400 	 0.3443 	 0.8811
[2020/09/15 14:55:50] - 131 	 11.1 	 	 0.1380 	 0.3381 	 0.8841
[2020/09/15 14:56:01] - 132 	 11.1 	 	 0.1360 	 0.3359 	 0.8852
[2020/09/15 14:56:12] - 133 	 11.1 	 	 0.1340 	 0.3327 	 0.8870
[2020/09/15 14:56:24] - 134 	 11.1 	 	 0.1320 	 0.3324 	 0.8867
[2020/09/15 14:56:35] - 135 	 11.1 	 	 0.1300 	 0.3276 	 0.8893
[2020/09/15 14:56:46] - 136 	 11.1 	 	 0.1280 	 0.3229 	 0.8905
[2020/09/15 14:56:57] - 137 	 11.1 	 	 0.1260 	 0.3207 	 0.8901
[2020/09/15 14:57:08] - 138 	 11.1 	 	 0.1240 	 0.3210 	 0.8895
[2020/09/15 14:57:19] - 139 	 11.1 	 	 0.1220 	 0.3209 	 0.8904
[2020/09/15 14:57:30] - 140 	 11.1 	 	 0.1200 	 0.3181 	 0.8904
[2020/09/15 14:57:41] - 141 	 11.1 	 	 0.1180 	 0.3133 	 0.8919
[2020/09/15 14:57:52] - 142 	 11.1 	 	 0.1160 	 0.3158 	 0.8919
[2020/09/15 14:58:03] - 143 	 11.1 	 	 0.1140 	 0.3114 	 0.8931
